year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month
2018,1,A & N Islands,,,,419978.0,1757607930.0
2018,2,A & N Islands,,,,419855.0833333333,1587052208.0
2018,3,A & N Islands,,,,419732.1666666667,1756579102.0
2018,4,A & N Islands,,,,419609.25,1699417470.0
2018,5,A & N Islands,,,,419486.3333333333,1755550305.0
2018,6,A & N Islands,,,,419363.4166666667,1698421830.0
2018,7,A & N Islands,,,,419240.5,1754521508.0
2018,8,A & N Islands,,,,419117.5833333333,1754007094.0
2018,9,A & N Islands,,,,418994.6666666667,1696928400.0
2018,10,A & N Islands,,,,418871.75,1752978266.0
2018,11,A & N Islands,,,,418748.8333333333,1695932760.0
2018,12,A & N Islands,,,,418625.9166666667,1751949469.0
2019,1,A & N Islands,,,,418503.0,1751435055.0
2019,2,A & N Islands,,,,418380.75,1581479228.0
2019,3,A & N Islands,,,,418258.5,1750411838.0
2019,4,A & N Islands,,,,418136.25,1693451820.0
2019,5,A & N Islands,,,,418014.0,1749388590.0
2019,6,A & N Islands,,,,417891.75,1692461580.0
2019,7,A & N Islands,,,,417769.5,1748365342.0
2019,8,A & N Islands,,,,417647.25,1747853749.0
2019,9,A & N Islands,,,,417525.0,1690976250.0
2019,10,A & N Islands,,,,417402.75,1746830501.0
2019,11,A & N Islands,,,,417280.5,1689986040.0
2019,12,A & N Islands,,,,417158.25,1745807284.0
2020,1,A & N Islands,,,,417036.0,1745295660.0
2020,2,A & N Islands,,,,415616.3333333333,1571029740.0
2020,3,A & N Islands,,,,414196.6666666667,1733413050.0
2020,4,A & N Islands,,,,412777.0,1671746850.0
2020,5,A & N Islands,,,,411357.3333333333,1721530440.0
2020,6,A & N Islands,,,,409937.6666666667,1660247550.0
2020,7,A & N Islands,,,,408518.0,1709647830.0
2020,8,A & N Islands,,,,407098.3333333333,1703706525.0
2020,9,A & N Islands,,,,405678.6666666667,1642998600.0
2020,10,A & N Islands,,,,404259.0,1691823915.0
2020,11,A & N Islands,,,,402839.3333333333,1631499300.0
2020,12,A & N Islands,,,,401419.6666666667,1679941305.0
2021,1,A & N Islands,,,,400000.0,1674000000.0
2021,2,A & N Islands,,,,400166.6666666667,1512630000.0
2021,3,A & N Islands,,,,400333.3333333333,1675395000.0
2021,4,A & N Islands,,,,400500.0,1622025000.0
2021,5,A & N Islands,,,,400666.6666666667,1676790000.0
2021,6,A & N Islands,,,,400833.3333333333,1623375000.0
2021,7,A & N Islands,,,,401000.0,1678185000.0
2021,8,A & N Islands,,,,401166.6666666667,1678882500.0
2021,9,A & N Islands,,,,401333.3333333333,1625400000.0
2021,10,A & N Islands,,,,401500.0,1680277500.0
2021,11,A & N Islands,,,,401666.6666666667,1626750000.0
2021,12,A & N Islands,,,,401833.3333333333,1681672500.0
2022,1,A & N Islands,,,,402000.0,1682370000.0
2022,2,A & N Islands,,,,402083.3333333333,1519875000.0
2022,3,A & N Islands,,,,402166.6666666667,1683067500.0
2022,4,A & N Islands,,,,402250.0,1629112500.0
2022,5,A & N Islands,,,,402333.3333333333,1683765000.0
2022,6,A & N Islands,,,,402416.6666666667,1629787500.0
