year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month,LPCD,rainfall_z,soil_moisture_z,groundwater_z,LPCD_z,WSI_entropy,WSI_entropy_0_100,WSI_equal,WSI_equal_0_100,entropy_weight_LPCD_s,entropy_weight_rainfall_s,entropy_weight_soil_s,entropy_weight_groundwater_s
2018,1,Andhra Pradesh,2.02778349,21.39597277,5.294545455,52883163,2.21E+11,139.5,-0.915492405,0.507125653,-0.444816283,0.760441995,0.861209207,89.36878455,0.737063867,77.11154879,0.626729372,0.112425164,0.138900277,0.121945187
2018,3,Andhra Pradesh,14.79961264,21.39597277,7.8,52968112.5,2.22E+11,139.5,-0.910475912,0.507125653,-0.016710334,0.760441999,0.851342596,88.2630938,0.716809927,74.53392371,0.626729372,0.112425164,0.138900277,0.121945187
2018,4,Andhra Pradesh,151.782973,21.39597277,7.355454545,53010587.25,2.15E+11,135,-0.856671864,0.507125653,-0.092669626,-1.315024689,0.22470694,18.03986781,0.466718868,42.7059929,0.626729372,0.112425164,0.138900277,0.121945187
2018,5,Andhra Pradesh,395.0610985,21.39597277,6.910909091,53053062,2.22E+11,139.5,-0.761117573,0.507125653,-0.168628918,0.760441995,0.850264886,88.14232141,0.713814964,74.15276852,0.626729372,0.112425164,0.138900277,0.121945187
2018,6,Andhra Pradesh,670.4295565,21.39597277,4.34,53095536.75,2.15E+11,135,-0.652958906,0.507125653,-0.607919057,-1.315024693,0.23022721,18.65849073,0.476964554,44.00991395,0.626729372,0.112425164,0.138900277,0.121945187
2018,7,Andhra Pradesh,1452.916488,21.39597277,4.659090909,53138011.5,2.22E+11,139.5,-0.345615269,0.507125653,-0.553396129,0.76044199,0.846407723,87.71007278,0.703722054,72.86829072,0.626729372,0.112425164,0.138900277,0.121945187
2018,8,Andhra Pradesh,6145.446114,26.67372455,4.978181818,53180486.25,2.23E+11,139.5,1.497507043,1.274023163,-0.498873202,0.760441997,0.766754264,78.78379676,0.536380022,51.57144536,0.626729372,0.112425164,0.138900277,0.121945187
2018,9,Andhra Pradesh,4526.272862,26.41681759,4.534090909,53222961,2.16E+11,135,0.861531442,1.236692626,-0.574754826,-1.315024691,0.16211381,11.02543848,0.334734251,25.90892199,0.626729372,0.112425164,0.138900277,0.121945187
2018,10,Andhra Pradesh,2537.866012,22.85087135,4.09,53265435.75,2.23E+11,139.5,0.080529014,0.718533491,-0.65063645,0.760441993,0.829480186,85.81310718,0.668334968,68.36474014,0.626729372,0.112425164,0.138900277,0.121945187
2018,11,Andhra Pradesh,1124.015483,16.0600854,5.359090909,53307910.5,2.16E+11,135,-0.474800342,-0.268219402,-0.433787428,-1.315024687,0.243702581,20.1685932,0.497941621,46.67956799,0.626729372,0.112425164,0.138900277,0.121945187
2018,12,Andhra Pradesh,1282.93824,14.53392466,4.62625,53350385.25,2.23E+11,139.5,-0.412378982,-0.489982175,-0.559007641,0.760441997,0.877910372,91.24038206,0.761311365,80.19741554,0.626729372,0.112425164,0.138900277,0.121945187
